****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.787454 0.621650 0.165804 1.115378 0.493088 0.457649 0.035439 0.622290
2 0.191029 0.124414 0.066614 0.317753 0.192350 0.059055 0.133295 0.125403
3 0.062806 0.036387 0.026419 0.107485 0.072869 0.034645 0.038224 0.034616
4 0.057429 0.036362 0.021067 0.071497 0.036796 0.023655 0.013141 0.034701
5 0.031527 0.017616 0.013910 0.046823 0.030064 0.016956 0.013109 0.016759
6 0.021591 0.020496 0.001095 0.024954 0.003137 0.002145 0.000992 0.021817
7 0.002916 0.001964 0.000952 0.003480 0.001384 0.000517 0.000867 0.002096
8 0.000664 0.000513 0.000151 0.000714 0.000220 0.000000 0.000220 0.000495
