****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.307809 1.137221 0.170587 2.084525 0.948672 0.837497 0.111175 1.135853
2 0.292899 0.174324 0.118575 0.395958 0.226367 0.083930 0.142436 0.169592
3 0.069697 0.033564 0.036133 0.166171 0.133607 0.032809 0.100798 0.032565
4 0.069756 0.033644 0.036112 0.082221 0.049215 0.021729 0.027486 0.033005
5 0.044840 0.020447 0.024392 0.067193 0.047892 0.020238 0.027653 0.019301
6 0.008524 0.006105 0.002419 0.010058 0.002611 0.000674 0.001937 0.007447
7 0.002813 0.000626 0.002187 0.002986 0.002202 0.000226 0.001976 0.000784
8 0.000507 0.000237 0.000270 0.001001 0.000703 0.000000 0.000703 0.000298
