****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.874296 0.641047 0.233248 1.165404 0.530257 0.469809 0.060448 0.635147
2 0.284274 0.115010 0.169264 0.371954 0.260038 0.054520 0.205518 0.111916
3 0.066501 0.028861 0.037640 0.194299 0.167113 0.027213 0.139901 0.027186
4 0.056064 0.028877 0.027187 0.064749 0.037434 0.018157 0.019277 0.027316
5 0.035207 0.017036 0.018171 0.051285 0.035317 0.016051 0.019266 0.015968
6 0.015847 0.014465 0.001381 0.019250 0.002809 0.001585 0.001223 0.016441
7 0.002651 0.001397 0.001254 0.003218 0.001589 0.000407 0.001182 0.001628
8 0.000627 0.000437 0.000190 0.000737 0.000305 0.000000 0.000305 0.000432
