****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.678661 0.585909 0.092752 1.107619 0.522158 0.419532 0.102625 0.585462
2 0.158638 0.099050 0.059588 0.203019 0.105654 0.045109 0.060545 0.097365
3 0.047167 0.020836 0.026331 0.082508 0.062554 0.019694 0.042860 0.019955
4 0.047376 0.020877 0.026499 0.051754 0.031761 0.013066 0.018694 0.019993
5 0.029799 0.012300 0.017499 0.042225 0.030496 0.011734 0.018762 0.011730
6 0.008045 0.006273 0.001772 0.010171 0.002160 0.000744 0.001416 0.008010
7 0.002257 0.000633 0.001624 0.002446 0.001623 0.000207 0.001417 0.000823
8 0.000455 0.000222 0.000234 0.000673 0.000437 0.000000 0.000437 0.000236
