****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 2.481540 2.418257 0.063282 4.262154 1.845932 1.815314 0.030618 2.416222
2 0.443847 0.398230 0.045618 0.675667 0.277577 0.232692 0.044885 0.398090
3 0.107674 0.086519 0.021155 0.205239 0.118650 0.086708 0.031942 0.086589
4 0.107794 0.086653 0.021141 0.159556 0.072837 0.058008 0.014829 0.086719
5 0.066762 0.052751 0.014011 0.120151 0.067503 0.052670 0.014834 0.052648
6 0.043231 0.042192 0.001039 0.048413 0.005167 0.004138 0.001029 0.043246
7 0.005059 0.004074 0.000985 0.006704 0.002168 0.001152 0.001016 0.004536
8 0.001267 0.001141 0.000127 0.002057 0.000279 0.000000 0.000279 0.001778
