****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.718507 0.629179 0.089328 1.178045 0.557071 0.463010 0.094060 0.620974
2 0.164346 0.103638 0.060708 0.213261 0.112627 0.052376 0.060252 0.100634
3 0.052580 0.025167 0.027413 0.089676 0.066276 0.023428 0.042848 0.023400
4 0.052772 0.025169 0.027603 0.057868 0.034294 0.015544 0.018750 0.023573
5 0.033768 0.015793 0.017975 0.048484 0.033725 0.014762 0.018962 0.014759
6 0.009398 0.007580 0.001818 0.011296 0.002330 0.000909 0.001422 0.008966
7 0.002440 0.000763 0.001677 0.002584 0.001658 0.000248 0.001411 0.000926
8 0.000503 0.000236 0.000267 0.000673 0.000436 0.000000 0.000436 0.000238
