****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.305103 1.138325 0.166778 2.072597 0.936526 0.837713 0.098813 1.136072
2 0.288499 0.169074 0.119426 0.383661 0.221182 0.081710 0.139473 0.162479
3 0.067837 0.031004 0.036833 0.157566 0.128500 0.030331 0.098168 0.029067
4 0.067889 0.031103 0.036786 0.077355 0.047338 0.019821 0.027517 0.030016
5 0.045019 0.020477 0.024542 0.067266 0.047791 0.020218 0.027574 0.019474
6 0.008062 0.005635 0.002427 0.009497 0.002605 0.000654 0.001951 0.006892
7 0.002765 0.000582 0.002183 0.002961 0.002201 0.000208 0.001994 0.000760
8 0.000473 0.000205 0.000269 0.001012 0.000728 0.000000 0.000728 0.000284
