****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.375354 1.203682 0.171672 2.199231 0.997227 0.888957 0.108270 1.202005
2 0.299386 0.179667 0.119718 0.402876 0.230164 0.086854 0.143310 0.172712
3 0.069981 0.032525 0.037455 0.162505 0.133116 0.032017 0.101100 0.029388
4 0.070069 0.032662 0.037408 0.079299 0.048371 0.020849 0.027523 0.030928
5 0.045264 0.020462 0.024802 0.067520 0.048134 0.020328 0.027806 0.019386
6 0.007099 0.004609 0.002490 0.008353 0.002446 0.000530 0.001916 0.005907
7 0.002695 0.000490 0.002205 0.002798 0.002133 0.000190 0.001943 0.000665
8 0.000501 0.000196 0.000305 0.001010 0.000744 0.000000 0.000744 0.000266
