****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.273296 1.102256 0.171040 2.022437 0.924046 0.809515 0.114532 1.098390
2 0.262692 0.169999 0.092693 0.387453 0.223298 0.082043 0.141255 0.164155
3 0.069712 0.032622 0.037090 0.137068 0.105597 0.031755 0.073843 0.031470
4 0.067985 0.032627 0.035358 0.080187 0.048308 0.021084 0.027224 0.031879
5 0.043695 0.019956 0.023738 0.066271 0.047217 0.019773 0.027444 0.019054
6 0.009492 0.007045 0.002447 0.011503 0.002784 0.000780 0.002004 0.008719
7 0.002904 0.000715 0.002189 0.003133 0.002241 0.000246 0.001995 0.000892
8 0.000499 0.000253 0.000246 0.001069 0.000721 0.000000 0.000721 0.000348
