****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.297998 1.134496 0.163502 2.081767 0.948595 0.837158 0.111437 1.133172
2 0.290934 0.175462 0.115472 0.391827 0.223304 0.084778 0.138526 0.168522
3 0.068690 0.033431 0.035259 0.161607 0.129742 0.032679 0.097062 0.031865
4 0.068710 0.033516 0.035195 0.081091 0.048732 0.021597 0.027136 0.032358
5 0.044222 0.020298 0.023925 0.066656 0.047444 0.020116 0.027328 0.019212
6 0.008790 0.006297 0.002493 0.010415 0.002716 0.000719 0.001997 0.007699
7 0.002862 0.000646 0.002217 0.003069 0.002223 0.000226 0.001996 0.000846
8 0.000503 0.000261 0.000242 0.001033 0.000710 0.000000 0.000710 0.000323
