****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.889889 0.651038 0.238850 1.180067 0.537981 0.476100 0.061881 0.642087
2 0.304283 0.130267 0.174015 0.398604 0.269769 0.063531 0.206237 0.128835
3 0.081192 0.040844 0.040348 0.219207 0.179821 0.039401 0.140420 0.039386
4 0.068471 0.040838 0.027633 0.085512 0.046101 0.026467 0.019634 0.039411
5 0.037171 0.018706 0.018465 0.055308 0.037520 0.017924 0.019597 0.017788
6 0.018660 0.017273 0.001387 0.023420 0.003277 0.001963 0.001315 0.020143
7 0.002914 0.001676 0.001238 0.003739 0.001774 0.000482 0.001293 0.001965
8 0.000625 0.000451 0.000174 0.000774 0.000337 0.000000 0.000337 0.000438
