****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 4.158867 4.111991 0.046876 7.159763 3.044697 3.006482 0.038216 4.115065
2 0.371061 0.336920 0.034141 0.568493 0.232635 0.203299 0.029335 0.335858
3 0.081855 0.062269 0.019586 0.145634 0.083275 0.062361 0.020914 0.062359
4 0.081789 0.062339 0.019450 0.117963 0.055653 0.041876 0.013777 0.062310
5 0.051838 0.038986 0.012852 0.091719 0.052765 0.038976 0.013789 0.038954
6 0.019002 0.017644 0.001358 0.020726 0.002820 0.001744 0.001077 0.017906
7 0.002981 0.001702 0.001279 0.003379 0.001653 0.000547 0.001107 0.001726
8 0.000673 0.000546 0.000126 0.001115 0.000332 0.000000 0.000332 0.000782
