****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.281324 1.102011 0.179313 2.008004 0.908524 0.809028 0.099496 1.099480
2 0.263449 0.169755 0.093694 0.389581 0.225935 0.081953 0.143982 0.163646
3 0.069123 0.032509 0.036614 0.137676 0.106241 0.031719 0.074522 0.031435
4 0.068982 0.032518 0.036464 0.080574 0.048728 0.021220 0.027508 0.031846
5 0.044513 0.019949 0.024564 0.066413 0.047378 0.019772 0.027606 0.019036
6 0.009046 0.006593 0.002454 0.010829 0.002743 0.000759 0.001984 0.008086
7 0.002888 0.000680 0.002208 0.003109 0.002235 0.000242 0.001993 0.000875
8 0.000496 0.000251 0.000245 0.000981 0.000691 0.000000 0.000691 0.000290
