****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.314899 1.144645 0.170254 2.088013 0.944365 0.843709 0.100656 1.143648
2 0.298509 0.178287 0.120222 0.401631 0.229472 0.086052 0.143419 0.172160
3 0.070693 0.034586 0.036106 0.170284 0.135800 0.033516 0.102284 0.034484
4 0.070859 0.034665 0.036194 0.086976 0.051205 0.022799 0.028406 0.035772
5 0.045910 0.021336 0.024575 0.070872 0.050555 0.021618 0.028937 0.020317
6 0.008985 0.006437 0.002548 0.010996 0.002897 0.000929 0.001968 0.008100
7 0.002844 0.000663 0.002182 0.002966 0.002174 0.000232 0.001941 0.000793
8 0.000518 0.000256 0.000263 0.001198 0.000719 0.000000 0.000719 0.000479
