****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.269879 1.098323 0.171556 2.026832 0.928244 0.808726 0.119519 1.098588
2 0.287118 0.170061 0.117057 0.386102 0.222036 0.081977 0.140059 0.164066
3 0.069933 0.032512 0.037420 0.161618 0.130181 0.031711 0.098470 0.031437
4 0.068411 0.032606 0.035805 0.080670 0.048769 0.021120 0.027648 0.031901
5 0.044030 0.019872 0.024158 0.065874 0.047282 0.019531 0.027750 0.018592
6 0.009720 0.007306 0.002414 0.011652 0.002824 0.000855 0.001969 0.008827
7 0.002931 0.000734 0.002197 0.003125 0.002182 0.000260 0.001922 0.000943
8 0.000513 0.000285 0.000228 0.000985 0.000694 0.000000 0.000694 0.000291
