****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.299355 1.137532 0.161824 2.092871 0.956594 0.838422 0.118172 1.136277
2 0.273219 0.170197 0.103022 0.385621 0.222131 0.082122 0.140009 0.163490
3 0.068782 0.031231 0.037551 0.144427 0.115424 0.030590 0.084834 0.029004
4 0.069041 0.031337 0.037704 0.077835 0.047680 0.019993 0.027688 0.030154
5 0.045542 0.020427 0.025115 0.067558 0.048082 0.020273 0.027809 0.019475
6 0.007800 0.005277 0.002523 0.009160 0.002545 0.000584 0.001961 0.006616
7 0.002779 0.000552 0.002227 0.002861 0.002154 0.000200 0.001954 0.000707
8 0.000528 0.000234 0.000294 0.001006 0.000720 0.000000 0.000720 0.000286
