****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.723685 0.636073 0.087611 1.176052 0.548904 0.456004 0.092900 0.627147
2 0.161864 0.102946 0.058918 0.211561 0.110957 0.050674 0.060283 0.100604
3 0.050895 0.023636 0.027259 0.087080 0.064843 0.022133 0.042710 0.022237
4 0.050934 0.023634 0.027300 0.055593 0.033212 0.014727 0.018485 0.022381
5 0.032550 0.014849 0.017702 0.046591 0.032598 0.013975 0.018623 0.013993
6 0.008853 0.007074 0.001779 0.010830 0.002239 0.000858 0.001381 0.008592
7 0.002351 0.000723 0.001629 0.002496 0.001617 0.000242 0.001375 0.000879
8 0.000497 0.000242 0.000255 0.000679 0.000431 0.000000 0.000431 0.000249
