****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.363709 1.202899 0.160810 2.203426 1.002664 0.887920 0.114744 1.200762
2 0.289884 0.179613 0.110271 0.399325 0.226249 0.086587 0.139662 0.173076
3 0.072127 0.032615 0.039512 0.144194 0.114674 0.032015 0.082658 0.029520
4 0.072141 0.032747 0.039394 0.079627 0.048728 0.020970 0.027758 0.030899
5 0.046912 0.020577 0.026335 0.067020 0.048283 0.020242 0.028042 0.018737
6 0.006765 0.004062 0.002702 0.007485 0.002454 0.000518 0.001936 0.005031
7 0.002806 0.000440 0.002366 0.002757 0.002173 0.000181 0.001993 0.000584
8 0.000604 0.000236 0.000368 0.001096 0.000782 0.000000 0.000782 0.000314
