****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 5.350065 5.304337 0.045728 9.224736 3.919273 3.880132 0.039140 5.305463
2 0.452154 0.418646 0.033508 0.671267 0.253415 0.225132 0.028283 0.417851
3 0.094674 0.075486 0.019188 0.171225 0.095617 0.075668 0.019949 0.075608
4 0.094397 0.075436 0.018961 0.139954 0.064290 0.050967 0.013323 0.075664
5 0.057367 0.044875 0.012492 0.103194 0.058252 0.044980 0.013272 0.044942
6 0.027039 0.025739 0.001299 0.031276 0.003788 0.002696 0.001092 0.027488
7 0.003722 0.002489 0.001234 0.004511 0.001833 0.000745 0.001088 0.002678
8 0.000854 0.000692 0.000162 0.001457 0.000356 0.000000 0.000356 0.001101
