****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 4.950755 4.905137 0.045618 8.527201 3.623492 3.583311 0.040181 4.903709
2 0.381190 0.347880 0.033310 0.583612 0.237277 0.208455 0.028822 0.346335
3 0.085760 0.067016 0.018745 0.154348 0.087391 0.067041 0.020351 0.066956
4 0.085688 0.067024 0.018664 0.124924 0.057940 0.044973 0.012967 0.066985
5 0.055814 0.043490 0.012325 0.100080 0.056554 0.043509 0.013046 0.043526
6 0.023688 0.022398 0.001290 0.026924 0.003321 0.002241 0.001080 0.023604
7 0.003409 0.002175 0.001234 0.004050 0.001746 0.000656 0.001090 0.002304
8 0.000808 0.000648 0.000160 0.001360 0.000369 0.000000 0.000369 0.000991
