****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.302001 1.138263 0.163738 2.086554 0.950990 0.837226 0.113764 1.135564
2 0.284302 0.169910 0.114392 0.385623 0.221528 0.082009 0.139519 0.164096
3 0.068774 0.031252 0.037522 0.151182 0.121571 0.030545 0.091026 0.029611
4 0.068670 0.031313 0.037357 0.077655 0.047386 0.020013 0.027374 0.030268
5 0.045682 0.020423 0.025259 0.067310 0.047852 0.020240 0.027612 0.019458
6 0.007367 0.004809 0.002558 0.008446 0.002503 0.000565 0.001938 0.005943
7 0.002774 0.000517 0.002256 0.002830 0.002155 0.000193 0.001962 0.000675
8 0.000502 0.000223 0.000279 0.001031 0.000739 0.000000 0.000739 0.000292
