****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.301023 1.139020 0.162003 2.083465 0.946641 0.837476 0.109164 1.136824
2 0.274140 0.170107 0.104033 0.385257 0.221925 0.082021 0.139903 0.163332
3 0.068627 0.031257 0.037370 0.143293 0.114252 0.030516 0.083736 0.029041
4 0.068644 0.031349 0.037294 0.077709 0.047521 0.020014 0.027507 0.030187
5 0.045500 0.020560 0.024940 0.067713 0.047954 0.020225 0.027728 0.019759
6 0.007441 0.004978 0.002463 0.008739 0.002514 0.000569 0.001945 0.006225
7 0.002717 0.000535 0.002182 0.002870 0.002191 0.000196 0.001996 0.000678
8 0.000500 0.000207 0.000293 0.000987 0.000733 0.000000 0.000733 0.000254
