****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.859280 0.621903 0.237377 1.130800 0.515062 0.449693 0.065369 0.615738
2 0.286237 0.107362 0.178875 0.369021 0.263521 0.050170 0.213350 0.105500
3 0.061517 0.024874 0.036643 0.193779 0.170425 0.023074 0.147351 0.023354
4 0.052598 0.024716 0.027882 0.058533 0.035120 0.015598 0.019522 0.023413
5 0.033079 0.014393 0.018686 0.046806 0.033289 0.013771 0.019518 0.013517
6 0.012828 0.011447 0.001381 0.015122 0.002363 0.001208 0.001155 0.012759
7 0.002407 0.001131 0.001276 0.002728 0.001465 0.000306 0.001159 0.001263
8 0.000548 0.000358 0.000190 0.000668 0.000304 0.000000 0.000304 0.000364
