****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.269996 1.099502 0.170494 2.011977 0.915095 0.808861 0.106234 1.096882
2 0.261755 0.169734 0.092020 0.385800 0.222403 0.081797 0.140606 0.163396
3 0.069738 0.032618 0.037120 0.135704 0.104481 0.031832 0.072649 0.031223
4 0.068200 0.032676 0.035524 0.080141 0.048493 0.021194 0.027299 0.031648
5 0.043687 0.019927 0.023760 0.066527 0.047305 0.019776 0.027529 0.019222
6 0.009637 0.007232 0.002405 0.011608 0.002849 0.000802 0.002047 0.008759
7 0.002895 0.000724 0.002171 0.003201 0.002280 0.000249 0.002031 0.000921
8 0.000502 0.000277 0.000225 0.001033 0.000728 0.000000 0.000728 0.000305
