****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.671445 0.585805 0.085640 1.071637 0.487482 0.425224 0.062259 0.584154
2 0.160746 0.099388 0.061358 0.201584 0.102076 0.045371 0.056705 0.099508
3 0.048653 0.020868 0.027785 0.084294 0.064164 0.019867 0.044297 0.020129
4 0.048677 0.020861 0.027816 0.053122 0.032980 0.013132 0.019847 0.020142
5 0.030799 0.012275 0.018524 0.043473 0.031681 0.011792 0.019890 0.011791
6 0.010726 0.008929 0.001797 0.012490 0.002404 0.000932 0.001472 0.010086
7 0.002580 0.000878 0.001701 0.002711 0.001692 0.000255 0.001437 0.001019
8 0.000525 0.000288 0.000238 0.000770 0.000482 0.000000 0.000482 0.000288
