****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 4.697748 4.651326 0.046422 8.069807 3.423417 3.385287 0.038130 4.646390
2 0.435537 0.401458 0.034079 0.643055 0.243989 0.214766 0.029223 0.399066
3 0.088062 0.068650 0.019413 0.157915 0.089281 0.068649 0.020632 0.068634
4 0.088076 0.068733 0.019343 0.128498 0.059826 0.046353 0.013473 0.068673
5 0.055594 0.043086 0.012508 0.099585 0.056577 0.043094 0.013483 0.043008
6 0.021212 0.019943 0.001269 0.023654 0.002977 0.001913 0.001063 0.020677
7 0.003181 0.001941 0.001240 0.003682 0.001664 0.000596 0.001068 0.002018
8 0.000763 0.000575 0.000188 0.001251 0.000385 0.000000 0.000385 0.000865
