****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 2.256180 2.209776 0.046404 3.853201 1.641937 1.619943 0.021994 2.211264
2 0.484614 0.451074 0.033540 0.739109 0.287228 0.257242 0.029986 0.451881
3 0.120941 0.105646 0.015294 0.232284 0.126683 0.105371 0.021312 0.105601
4 0.120902 0.105648 0.015254 0.185722 0.080363 0.070451 0.009912 0.105359
5 0.067656 0.057415 0.010242 0.124753 0.067377 0.057464 0.009913 0.057376
6 0.061947 0.061185 0.000762 0.069349 0.006869 0.006092 0.000777 0.062480
7 0.006558 0.005844 0.000714 0.008474 0.002393 0.001625 0.000768 0.006081
8 0.001781 0.001673 0.000107 0.001907 0.000197 0.000000 0.000197 0.001709
