****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.684680 0.599665 0.085016 1.120854 0.525171 0.432182 0.092989 0.595683
2 0.163587 0.104289 0.059297 0.207480 0.105245 0.048678 0.056567 0.102235
3 0.049846 0.023280 0.026567 0.087568 0.065436 0.021960 0.043476 0.022133
4 0.050066 0.023305 0.026761 0.055806 0.033437 0.014682 0.018755 0.022369
5 0.031520 0.013540 0.017980 0.044485 0.031579 0.012907 0.018672 0.012906
6 0.011159 0.009359 0.001801 0.013086 0.002485 0.000983 0.001502 0.010600
7 0.002599 0.000912 0.001688 0.002862 0.001797 0.000262 0.001536 0.001064
8 0.000528 0.000310 0.000218 0.000750 0.000430 0.000000 0.000430 0.000321
