****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.696432 0.603112 0.093320 1.118729 0.523329 0.434494 0.088835 0.595401
2 0.155344 0.095917 0.059427 0.198406 0.104500 0.045559 0.058941 0.093906
3 0.047187 0.020433 0.026753 0.081252 0.061548 0.019420 0.042128 0.019704
4 0.047609 0.020678 0.026931 0.051032 0.031354 0.012884 0.018469 0.019678
5 0.030976 0.013339 0.017637 0.043865 0.031215 0.012668 0.018547 0.012650
6 0.008530 0.006712 0.001818 0.010292 0.002162 0.000787 0.001375 0.008130
7 0.002340 0.000684 0.001656 0.002469 0.001631 0.000238 0.001393 0.000837
8 0.000465 0.000227 0.000238 0.000670 0.000428 0.000000 0.000428 0.000242
