****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 4.691273 4.647260 0.044013 8.048945 3.400877 3.373353 0.027524 4.648068
2 0.404066 0.372284 0.031782 0.616983 0.246559 0.219412 0.027146 0.370424
3 0.095217 0.076449 0.018768 0.172251 0.095725 0.076470 0.019255 0.076526
4 0.094732 0.076534 0.018198 0.140524 0.064029 0.051154 0.012876 0.076495
5 0.056740 0.044745 0.011994 0.102361 0.057689 0.044676 0.013013 0.044671
6 0.032503 0.031216 0.001287 0.038693 0.004288 0.003246 0.001042 0.034405
7 0.004217 0.003002 0.001214 0.005206 0.001973 0.000903 0.001070 0.003233
8 0.001005 0.000898 0.000107 0.001673 0.000323 0.000000 0.000323 0.001350
