****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 2.599686 2.568672 0.031014 4.452195 1.881384 1.868689 0.012695 2.570811
2 0.650590 0.628263 0.022327 0.983666 0.355567 0.340441 0.015126 0.628099
3 0.175719 0.165500 0.010220 0.342013 0.176383 0.165674 0.010709 0.165630
4 0.175709 0.165492 0.010218 0.281592 0.115855 0.110873 0.004982 0.165737
5 0.090828 0.084043 0.006785 0.173168 0.089099 0.084115 0.004983 0.084070
6 0.112794 0.112346 0.000448 0.135667 0.012404 0.011772 0.000632 0.123263
7 0.011404 0.010966 0.000438 0.015400 0.003613 0.002989 0.000624 0.011787
8 0.003325 0.003244 0.000081 0.003243 0.000149 0.000000 0.000149 0.003093
