****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.358132 1.202925 0.155207 2.212387 1.011110 0.889032 0.122078 1.201276
2 0.298605 0.179817 0.118788 0.399377 0.226671 0.086736 0.139935 0.172706
3 0.069220 0.032606 0.036614 0.161189 0.131670 0.032090 0.099580 0.029519
4 0.069095 0.032703 0.036392 0.079539 0.048540 0.020850 0.027690 0.030999
5 0.045550 0.021018 0.024532 0.068073 0.048677 0.020737 0.027941 0.019396
6 0.006958 0.004490 0.002468 0.008444 0.002484 0.000551 0.001933 0.005960
7 0.002695 0.000478 0.002217 0.002806 0.002142 0.000192 0.001949 0.000665
8 0.000505 0.000201 0.000304 0.000990 0.000738 0.000000 0.000738 0.000252
