****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.709536 0.618835 0.090701 1.164566 0.547620 0.451726 0.095894 0.616946
2 0.158469 0.098268 0.060201 0.203759 0.106569 0.045705 0.060864 0.097190
3 0.048273 0.020195 0.028078 0.081721 0.062341 0.019162 0.043178 0.019380
4 0.048303 0.020215 0.028088 0.051535 0.032176 0.012600 0.019576 0.019359
5 0.031187 0.012760 0.018427 0.043977 0.031817 0.012165 0.019652 0.012160
6 0.007059 0.005174 0.001885 0.008388 0.002088 0.000627 0.001461 0.006300
7 0.002251 0.000525 0.001726 0.002292 0.001637 0.000183 0.001454 0.000655
8 0.000470 0.000203 0.000266 0.000668 0.000458 0.000000 0.000458 0.000209
