****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.761614 0.678618 0.082996 1.194251 0.513215 0.496190 0.017025 0.681036
2 0.217541 0.179525 0.038015 0.323496 0.147094 0.082995 0.064099 0.176402
3 0.062225 0.049027 0.013198 0.110145 0.062097 0.048137 0.013961 0.048048
4 0.062125 0.048974 0.013151 0.087126 0.039079 0.032305 0.006774 0.048046
5 0.034408 0.025642 0.008766 0.056904 0.031896 0.025127 0.006769 0.025009
6 0.035074 0.034375 0.000698 0.042060 0.004344 0.003598 0.000746 0.037716
7 0.003862 0.003273 0.000589 0.005138 0.001537 0.000862 0.000675 0.003601
8 0.000860 0.000766 0.000094 0.000975 0.000167 0.000000 0.000167 0.000808
