****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.710723 0.618468 0.092255 1.135634 0.525694 0.442699 0.082995 0.609940
2 0.167502 0.108703 0.058799 0.218110 0.111012 0.051871 0.059141 0.107098
3 0.049681 0.023215 0.026467 0.085516 0.063264 0.021962 0.041302 0.022252
4 0.049878 0.023244 0.026634 0.055650 0.033430 0.014563 0.018867 0.022220
5 0.031653 0.014150 0.017502 0.045864 0.032375 0.013479 0.018896 0.013489
6 0.010398 0.008602 0.001796 0.011810 0.002365 0.000920 0.001445 0.009445
7 0.002452 0.000847 0.001605 0.002649 0.001680 0.000249 0.001431 0.000969
8 0.000498 0.000275 0.000223 0.000720 0.000438 0.000000 0.000438 0.000282
