****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.867459 0.858536 0.008923 1.495943 0.637747 0.635408 0.002339 0.858195
2 0.280490 0.273877 0.006613 0.402290 0.128546 0.128446 0.000100 0.273743
3 0.085225 0.082080 0.003145 0.162539 0.081257 0.081231 0.000026 0.081282
4 0.085217 0.082080 0.003136 0.135755 0.054478 0.054469 0.000009 0.081278
5 0.042484 0.040346 0.002139 0.079519 0.039811 0.039803 0.000008 0.039708
6 0.063927 0.063811 0.000116 0.080390 0.006749 0.006632 0.000117 0.073642
7 0.006238 0.006124 0.000114 0.008776 0.001826 0.001675 0.000151 0.006950
8 0.001523 0.001491 0.000033 0.001438 0.000020 0.000000 0.000020 0.001418
