****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 0.869618 0.709314 0.160304 1.276384 0.570823 0.523384 0.047439 0.705562
2 0.272957 0.150833 0.122125 0.360170 0.209460 0.072841 0.136619 0.150711
3 0.076975 0.046732 0.030242 0.181742 0.136297 0.044774 0.091523 0.045444
4 0.066118 0.045975 0.020144 0.087918 0.043183 0.030025 0.013157 0.044735
5 0.040919 0.027477 0.013441 0.066587 0.039933 0.026807 0.013126 0.026654
6 0.028985 0.027897 0.001088 0.034112 0.004168 0.002992 0.001176 0.029944
7 0.003567 0.002645 0.000922 0.004741 0.001862 0.000749 0.001113 0.002879
8 0.000796 0.000661 0.000135 0.000943 0.000295 0.000000 0.000295 0.000647
