****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.313720 1.139213 0.174507 2.089462 0.952728 0.837582 0.115146 1.136734
2 0.263648 0.169670 0.093978 0.387325 0.224628 0.081889 0.142738 0.162698
3 0.067605 0.031204 0.036402 0.136286 0.107192 0.030561 0.076631 0.029094
4 0.068743 0.031281 0.037462 0.077691 0.047682 0.020004 0.027679 0.030009
5 0.045382 0.020477 0.024905 0.067472 0.048130 0.020272 0.027858 0.019342
6 0.007898 0.005368 0.002530 0.008922 0.002554 0.000634 0.001920 0.006367
7 0.002775 0.000557 0.002219 0.002837 0.002136 0.000210 0.001926 0.000701
8 0.000456 0.000203 0.000253 0.001037 0.000737 0.000000 0.000737 0.000301
