****AlexNet Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 1.302760 1.139140 0.163620 2.098346 0.962145 0.837922 0.124224 1.136201
2 0.272521 0.169932 0.102589 0.384619 0.221832 0.081842 0.139990 0.162787
3 0.068067 0.031324 0.036743 0.142554 0.113425 0.030531 0.082894 0.029129
4 0.068244 0.031273 0.036971 0.077951 0.047697 0.020046 0.027651 0.030255
5 0.045237 0.020535 0.024701 0.067578 0.048143 0.020285 0.027858 0.019436
6 0.007846 0.005325 0.002521 0.009134 0.002563 0.000610 0.001953 0.006571
7 0.002765 0.000553 0.002212 0.002907 0.002185 0.000198 0.001988 0.000722
8 0.000511 0.000249 0.000262 0.001051 0.000735 0.000000 0.000735 0.000317
